-190, -180,
-180, -170,
-170, -160,
-160, -150,
-150, -140,
-140, -130,
-130, -120,
-120, -110,
-110, -100,
-100, -90,
-90, -80,
-80, -70,
-70, -60,
-60, -50,
-50, -40,
-40, -30,
-30, -30,
-20, -20,
-10, -20,
0, -10,
10, -20,
20, -30,
30, -20,
40, -10,
50, 0,
60, 10,
70, 10,
80, 20,
90, 30,
100, 40,
110, 40,
120, 40,
130, 40,
140, 40,
150, 40,
160, 40,
170, 40,
